,severity_proba
0,0.036439665
1,0.091251686
2,0.29402974
3,0.0036005531
4,0.6194772
5,0.0053766365
6,0.0078831
7,0.0019491155
8,0.12391665
9,0.28548944
10,0.0027138737
11,0.5418356
12,0.32221124
13,0.06436897
15,0.0457145
16,0.009337488
17,0.003227684
18,0.003306149
19,0.003780805
20,0.018976554
21,0.0072838347
22,0.0035064395
23,0.008951033
24,0.0072598835
25,0.32747295
26,0.0049939677
27,0.0030972813
28,0.004947333
29,0.005231987
31,0.2561269
33,0.027259769
34,0.5940266
35,0.07155694
36,0.1357628
37,0.31058046
38,0.013475158
39,0.0031366663
40,0.15027943
41,0.023207001
42,0.0050034095
43,0.0030837466
44,0.007238021
45,0.43183073
47,0.0596748
48,0.016341468
49,0.0013458778
50,0.019842891
51,0.0019396723
52,0.0031719697
53,0.00241947
54,0.32772782
55,0.0077512995
56,0.00524775
57,0.26709783
59,0.26828676
60,0.0027174682
61,0.1561291
62,0.50742054
63,0.025382865
64,0.0057050823
65,0.0920597
66,0.19893566
67,0.013622386
68,0.07108623
69,0.052179508
71,0.046463083
72,0.009706327
73,0.013753499
74,0.0041924263
75,0.1655225
76,0.0047313413
77,0.1289145
78,0.32783297
79,0.47608724
80,0.004026869
81,0.006114193
83,0.14068225
84,0.0034780505
85,0.045146804
86,0.05976753
88,0.38093743
89,0.009504006
90,0.47865868
91,0.3613544
92,0.10575695
93,0.60702413
94,0.1312992
95,0.25448477
96,0.5703155
97,0.7479028
98,0.041275807
99,0.18000433
100,0.3971882
101,0.2760632
102,0.3923381
103,0.0056013074
104,0.072368205
105,0.0151128685
106,0.20731062
107,0.004422504
108,0.40547082
109,0.0026067498
110,0.014293457
111,0.03551181
112,0.019324383
113,0.33078712
114,0.007754447
115,0.005518735
116,0.56795067
117,0.030913936
118,0.02558292
119,0.01801985
120,0.18390432
121,0.0023286797
122,0.73706365
123,0.16580774
124,0.010375964
125,0.00210343
126,0.05763377
127,0.46798846
128,0.06234829
129,0.0056960466
130,0.37092012
131,0.55039215
132,0.021301333
133,0.010518933
135,0.046850216
136,0.0045973863
137,0.015416647
140,0.45515797
141,0.25384971
142,0.04052696
143,0.15669996
144,0.029832382
145,0.12820536
146,0.12749352
147,0.015701033
148,0.41038096
149,0.028542446
150,0.004111462
152,0.0057181073
153,0.0036208904
154,0.46564212
155,0.118180305
156,0.0056717927
157,0.56734437
158,0.29247993
159,0.006888473
160,0.006254218
161,0.14890729
162,0.059040166
163,0.010315571
164,0.36171138
165,0.13587506
166,0.14221391
167,0.00429941
168,0.12291435
169,0.12425563
170,0.08064643
171,0.018043077
172,0.22596271
173,0.009826756
174,0.08460228
175,0.00519037
176,0.27069473
177,0.34027147
178,0.01171304
179,0.109622136
180,0.028028661
181,0.2921977
182,0.70900214
184,0.35867122
185,0.03426582
186,0.018083816
187,0.02705949
189,0.4495242
192,0.44084722
193,0.02656636
194,0.001908149
195,0.0055551147
196,0.0054264306
198,0.80320257
199,0.00587863
200,0.004180896
202,0.011457163
203,0.0070305555
204,0.0034148945
205,0.005485361
206,0.0052057244
207,0.0052402182
208,0.003247036
209,0.36496833
210,0.050719783
211,0.079558656
212,0.0141638545
213,0.0033856265
214,0.49319223
217,0.038738023
218,0.007838258
219,0.029930362
220,0.1459326
221,0.02294114
222,0.5338143
223,0.15663499
224,0.029387604
225,0.8129502
226,0.004822428
227,0.07685772
228,0.17079972
229,0.101941854
231,0.17772606
232,0.045824733
233,0.529438
235,0.49770075
236,0.10880059
237,0.022121597
239,0.0763059
240,0.07148303
243,0.003000692
244,0.07091567
246,0.006229101
247,0.0034376462
248,0.0034881532
249,0.005843669
250,0.035954893
251,0.011961234
252,0.008624411
253,0.013512666
254,0.0037704275
256,0.0033094063
257,0.031118229
258,0.004478435
259,0.005620098
260,0.0016278513
261,0.42775822
262,0.03553562
264,0.063904226
265,0.5689872
267,0.02315271
269,0.789189
270,0.10820653
272,0.011312309
273,0.69117945
274,0.5882222
275,0.16276506
276,0.010016974
277,0.0063170884
278,0.002850693
279,0.016667463
280,0.04046182
281,0.0046787946
282,0.03546962
283,0.07760386
285,0.020571344
286,0.0017950201
287,0.030755231
289,0.00715432
290,0.008077041
291,0.4095227
292,0.084696844
293,0.18427336
294,0.0031800463
295,0.003534813
296,0.0049127894
297,0.021074142
298,0.0028968677
299,0.042205647
300,0.035705876
303,0.049607873
304,0.009566897
306,0.0014998042
308,0.045889232
309,0.39495292
